"FullDate";"Day";"Month";"Year";"Quarter";"IsWeekend";"DateKey"
2025-05-02 00:00:00;"02";"05";"2025";2;0;1
2025-08-13 00:00:00;"13";"08";"2025";3;0;2
2023-10-07 00:00:00;"07";"10";"2023";4;1;3
2025-04-04 00:00:00;"04";"04";"2025";2;0;4
2024-01-23 00:00:00;"23";"01";"2024";1;0;5
2025-06-23 00:00:00;"23";"06";"2025";2;0;6
2023-11-01 00:00:00;"01";"11";"2023";4;0;7
2024-10-27 00:00:00;"27";"10";"2024";4;1;8
2025-07-23 00:00:00;"23";"07";"2025";3;0;9
2024-06-11 00:00:00;"11";"06";"2024";2;0;10
2025-04-24 00:00:00;"24";"04";"2025";2;0;11
2023-12-25 00:00:00;"25";"12";"2023";4;0;12
2024-07-03 00:00:00;"03";"07";"2024";3;0;13
2025-03-05 00:00:00;"05";"03";"2025";1;0;14
2024-06-08 00:00:00;"08";"06";"2024";2;1;15
2024-11-03 00:00:00;"03";"11";"2024";4;1;16
2025-01-08 00:00:00;"08";"01";"2025";1;0;17
2025-04-14 00:00:00;"14";"04";"2025";2;0;18
2024-06-29 00:00:00;"29";"06";"2024";2;1;19
2025-04-20 00:00:00;"20";"04";"2025";2;1;20
2024-11-09 00:00:00;"09";"11";"2024";4;1;21
2024-01-24 00:00:00;"24";"01";"2024";1;0;22
2024-12-07 00:00:00;"07";"12";"2024";4;1;23
2025-07-05 00:00:00;"05";"07";"2025";3;1;24
2023-10-01 00:00:00;"01";"10";"2023";4;1;25
2023-09-15 00:00:00;"15";"09";"2023";3;0;26
2025-03-17 00:00:00;"17";"03";"2025";1;0;27
2025-02-23 00:00:00;"23";"02";"2025";1;1;28
2025-03-25 00:00:00;"25";"03";"2025";1;0;29
2025-08-08 00:00:00;"08";"08";"2025";3;0;30
2024-09-09 00:00:00;"09";"09";"2024";3;0;31
2025-02-28 00:00:00;"28";"02";"2025";1;0;32
2025-02-18 00:00:00;"18";"02";"2025";1;0;33
2025-01-13 00:00:00;"13";"01";"2025";1;0;34
2024-12-10 00:00:00;"10";"12";"2024";4;0;35
2025-08-19 00:00:00;"19";"08";"2025";3;0;36
2024-01-15 00:00:00;"15";"01";"2024";1;0;37
2025-07-29 00:00:00;"29";"07";"2025";3;0;38
2024-09-15 00:00:00;"15";"09";"2024";3;1;39
2025-03-14 00:00:00;"14";"03";"2025";1;0;40
2025-07-18 00:00:00;"18";"07";"2025";3;0;41
2024-12-09 00:00:00;"09";"12";"2024";4;0;42
2025-08-11 00:00:00;"11";"08";"2025";3;0;43
2023-12-16 00:00:00;"16";"12";"2023";4;1;44
2023-09-06 00:00:00;"06";"09";"2023";3;0;45
2024-11-02 00:00:00;"02";"11";"2024";4;1;46
2025-07-04 00:00:00;"04";"07";"2025";3;0;47
2023-11-09 00:00:00;"09";"11";"2023";4;0;48
2024-12-29 00:00:00;"29";"12";"2024";4;1;49
2025-07-24 00:00:00;"24";"07";"2025";3;0;50
2025-02-06 00:00:00;"06";"02";"2025";1;0;51
2023-12-01 00:00:00;"01";"12";"2023";4;0;52
2023-11-08 00:00:00;"08";"11";"2023";4;0;53
2025-07-07 00:00:00;"07";"07";"2025";3;0;54
2024-03-07 00:00:00;"07";"03";"2024";1;0;55
2024-07-25 00:00:00;"25";"07";"2024";3;0;56
2024-11-25 00:00:00;"25";"11";"2024";4;0;57
2025-08-01 00:00:00;"01";"08";"2025";3;0;58
2023-10-20 00:00:00;"20";"10";"2023";4;0;59
2024-10-17 00:00:00;"17";"10";"2024";4;0;60
2024-10-28 00:00:00;"28";"10";"2024";4;0;61
2025-04-29 00:00:00;"29";"04";"2025";2;0;62
2024-06-22 00:00:00;"22";"06";"2024";2;1;63
2023-10-31 00:00:00;"31";"10";"2023";4;0;64
2024-04-17 00:00:00;"17";"04";"2024";2;0;65
2024-05-19 00:00:00;"19";"05";"2024";2;1;66
2025-05-16 00:00:00;"16";"05";"2025";2;0;67
2025-08-26 00:00:00;"26";"08";"2025";3;0;68
2025-04-25 00:00:00;"25";"04";"2025";2;0;69
2025-08-10 00:00:00;"10";"08";"2025";3;1;70
2025-05-08 00:00:00;"08";"05";"2025";2;0;71
2024-07-30 00:00:00;"30";"07";"2024";3;0;72
2024-06-14 00:00:00;"14";"06";"2024";2;0;73
2025-05-20 00:00:00;"20";"05";"2025";2;0;74
2024-02-06 00:00:00;"06";"02";"2024";1;0;75
2023-10-28 00:00:00;"28";"10";"2023";4;1;76
2025-08-12 00:00:00;"12";"08";"2025";3;0;77
2024-10-05 00:00:00;"05";"10";"2024";4;1;78
2025-03-09 00:00:00;"09";"03";"2025";1;1;79
2025-01-18 00:00:00;"18";"01";"2025";1;1;80
2024-12-14 00:00:00;"14";"12";"2024";4;1;81
2025-09-16 00:00:00;"16";"09";"2025";3;0;82
2024-01-31 00:00:00;"31";"01";"2024";1;0;83
2025-04-09 00:00:00;"09";"04";"2025";2;0;84
2023-09-16 00:00:00;"16";"09";"2023";3;1;85
2024-11-04 00:00:00;"04";"11";"2024";4;0;86
2025-01-26 00:00:00;"26";"01";"2025";1;1;87
2025-08-20 00:00:00;"20";"08";"2025";3;0;88
2024-08-01 00:00:00;"01";"08";"2024";3;0;89
2024-12-20 00:00:00;"20";"12";"2024";4;0;90
2024-11-06 00:00:00;"06";"11";"2024";4;0;91
2023-11-04 00:00:00;"04";"11";"2023";4;1;92
2024-04-20 00:00:00;"20";"04";"2024";2;1;93
2024-05-27 00:00:00;"27";"05";"2024";2;0;94
2025-03-26 00:00:00;"26";"03";"2025";1;0;95
2024-09-23 00:00:00;"23";"09";"2024";3;0;96
2025-07-13 00:00:00;"13";"07";"2025";3;1;97
2025-03-15 00:00:00;"15";"03";"2025";1;1;98
2024-08-22 00:00:00;"22";"08";"2024";3;0;99
2025-01-14 00:00:00;"14";"01";"2025";1;0;100
2025-03-31 00:00:00;"31";"03";"2025";1;0;101
